id,language,transcript,speech_pitch,speech_energy,mel_mean,mel_std,embedding_dim1,embedding_dim2,emotion
1484,English,Do you feel any pain?,185.49,0.44,0.26,0.1,0.52,0.23,Neutral
1485,Mandarin,你可以慢慢移动手臂吗？,209.51,0.5,0.26,0.09,0.44,0.17,Sadness
1486,Hindi,कृपया गहरी साँस लें।,205.15,0.4,0.32,0.13,0.59,0.27,Neutral
1487,Spanish,Déjeme ajustar su almohada para mayor comodidad.,243.75,0.41,0.29,0.14,0.57,0.23,Neutral
1488,Spanish,Vamos a comenzar la terapia.,237.93,0.78,0.24,0.12,0.44,0.21,Anger
1489,Mandarin,你有疼痛吗？,166.75,0.53,0.35,0.11,0.49,0.24,Joy
1490,French,Je vais enregistrer votre tension artérielle.,179.4,0.64,0.2,0.14,0.4,0.26,Sadness
1491,Mandarin,请深呼吸。,231.51,0.45,0.23,0.11,0.34,0.15,Fear
1492,Mandarin,你今天看起来更放松。,188.38,0.73,0.3,0.12,0.42,0.29,Sadness
1493,English,You are making good progress.,182.48,0.76,0.25,0.09,0.56,0.2,Anger
1494,English,Can you move your arm slowly?,157.15,0.6,0.36,0.09,0.39,0.23,Fear
1495,Mandarin,你有疼痛吗？,150.21,0.66,0.37,0.09,0.33,0.2,Fear
1496,Hindi,हम आपकी थेरेपी शुरू करेंगे।,178.05,0.71,0.31,0.11,0.43,0.24,Sadness
1497,Mandarin,你今天看起来更放松。,174.64,0.5,0.24,0.1,0.59,0.25,Anger
1498,Spanish,Por favor respire profundamente.,223.52,0.58,0.28,0.1,0.48,0.29,Anger
1499,Hindi,हम आपकी थेरेपी शुरू करेंगे।,158.85,0.68,0.31,0.14,0.44,0.21,Neutral
1500,Spanish,¿Tiene algún dolor?,215.9,0.51,0.27,0.09,0.32,0.22,Surprise
1501,Spanish,Por favor respire profundamente.,173.7,0.55,0.22,0.12,0.59,0.25,Joy
1502,French,Laissez-moi ajuster votre oreiller pour plus de confort.,223.46,0.63,0.31,0.12,0.36,0.27,Fear
1503,Hindi,हम आपकी थेरेपी शुरू करेंगे।,156.31,0.44,0.23,0.08,0.34,0.17,Anger
1504,English,Do you feel any pain?,186.5,0.47,0.29,0.09,0.35,0.22,Sadness
1505,English,We will start your therapy now.,179.0,0.59,0.31,0.11,0.43,0.15,Joy
1506,English,How are you feeling today?,219.85,0.4,0.35,0.1,0.55,0.29,Fear
1507,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,158.95,0.66,0.28,0.1,0.4,0.21,Joy
1508,English,You seem more relaxed today.,228.1,0.54,0.24,0.11,0.4,0.25,Joy
1509,Mandarin,你有疼痛吗？,164.52,0.54,0.25,0.12,0.48,0.28,Anger
1510,French,Je vais enregistrer votre tension artérielle.,212.48,0.64,0.32,0.14,0.33,0.16,Surprise
1511,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,249.02,0.41,0.32,0.12,0.55,0.17,Surprise
1512,Spanish,¿Puede mover el brazo lentamente?,157.85,0.57,0.21,0.14,0.35,0.23,Joy
1513,French,Je vais enregistrer votre tension artérielle.,152.45,0.49,0.24,0.11,0.5,0.15,Joy
1514,French,Vous progressez bien.,164.5,0.43,0.31,0.13,0.32,0.24,Anger
1515,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,161.52,0.65,0.25,0.14,0.59,0.26,Fear
1516,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,182.62,0.55,0.29,0.08,0.55,0.17,Sadness
1517,Spanish,Déjeme ajustar su almohada para mayor comodidad.,234.67,0.72,0.28,0.13,0.47,0.17,Sadness
1518,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,231.18,0.65,0.33,0.11,0.33,0.28,Anger
1519,Spanish,Voy a registrar su presión arterial.,228.8,0.47,0.23,0.08,0.33,0.27,Fear
1520,French,Essayons quelques exercices d'étirement.,245.43,0.68,0.39,0.09,0.36,0.21,Sadness
1521,Hindi,मैं आपका तकिया सही कर देता हूँ।,201.04,0.44,0.22,0.15,0.32,0.24,Neutral
1522,Spanish,Está progresando bien.,178.16,0.61,0.23,0.09,0.41,0.17,Anger
1523,Mandarin,我们现在开始治疗。,227.1,0.58,0.3,0.1,0.49,0.25,Anger
1524,Spanish,Por favor respire profundamente.,201.24,0.66,0.34,0.11,0.49,0.16,Joy
1525,English,I will record your blood pressure now.,166.52,0.56,0.34,0.12,0.56,0.22,Anger
1526,French,Ressentez-vous de la douleur?,231.38,0.75,0.25,0.14,0.37,0.18,Fear
1527,English,Let me adjust your pillow for comfort.,150.33,0.5,0.33,0.11,0.57,0.2,Joy
1528,Spanish,Parece más relajado hoy.,222.54,0.41,0.31,0.09,0.6,0.26,Anger
1529,English,Let me adjust your pillow for comfort.,215.4,0.77,0.37,0.09,0.46,0.2,Sadness
1530,English,How are you feeling today?,225.57,0.51,0.39,0.12,0.32,0.22,Joy
1531,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,172.7,0.45,0.22,0.12,0.51,0.16,Anger
1532,Mandarin,你可以慢慢移动手臂吗？,170.65,0.74,0.39,0.14,0.33,0.27,Sadness
1533,Mandarin,你有疼痛吗？,152.5,0.41,0.28,0.13,0.55,0.24,Surprise
1534,English,Let me adjust your pillow for comfort.,211.11,0.4,0.34,0.14,0.39,0.22,Neutral
1535,Spanish,Parece más relajado hoy.,239.37,0.49,0.38,0.13,0.37,0.2,Neutral
1536,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,164.63,0.79,0.33,0.12,0.32,0.22,Joy
1537,Mandarin,我们现在开始治疗。,243.61,0.73,0.3,0.12,0.57,0.22,Sadness
1538,French,Vous semblez plus détendu aujourd'hui.,155.31,0.41,0.31,0.1,0.58,0.23,Anger
1539,English,Let me adjust your pillow for comfort.,169.11,0.77,0.35,0.1,0.59,0.18,Surprise
1540,French,Comment vous sentez-vous aujourd'hui?,183.22,0.57,0.37,0.12,0.35,0.25,Fear
1541,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,238.54,0.4,0.36,0.1,0.53,0.17,Joy
1542,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,166.45,0.56,0.24,0.11,0.51,0.24,Fear
1543,English,Can you move your arm slowly?,156.65,0.73,0.37,0.14,0.4,0.26,Sadness
1544,French,Essayons quelques exercices d'étirement.,222.09,0.69,0.23,0.1,0.41,0.21,Neutral
1545,English,Please take a deep breath.,201.0,0.55,0.24,0.09,0.34,0.26,Anger
1546,English,You seem more relaxed today.,237.12,0.69,0.35,0.11,0.36,0.25,Surprise
1547,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,154.78,0.71,0.21,0.11,0.46,0.26,Sadness
1548,Mandarin,我们来做一些伸展运动。,191.16,0.72,0.26,0.12,0.5,0.18,Neutral
1549,French,Vous semblez plus détendu aujourd'hui.,229.94,0.64,0.35,0.09,0.51,0.21,Sadness
1550,Mandarin,让我帮你调整枕头。,219.69,0.72,0.37,0.13,0.44,0.21,Surprise
1551,English,We will start your therapy now.,235.01,0.52,0.24,0.14,0.43,0.23,Fear
1552,French,Nous allons commencer la séance.,204.67,0.46,0.34,0.11,0.44,0.16,Anger
1553,English,Can you move your arm slowly?,151.3,0.7,0.26,0.1,0.48,0.23,Sadness
1554,Mandarin,你今天感觉如何？,188.07,0.48,0.38,0.11,0.51,0.16,Anger
1555,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,172.26,0.78,0.27,0.09,0.41,0.18,Surprise
1556,English,You are making good progress.,249.32,0.54,0.38,0.14,0.54,0.22,Neutral
1557,French,Vous progressez bien.,156.81,0.62,0.36,0.15,0.47,0.29,Neutral
1558,French,Pouvez-vous bouger le bras lentement?,177.86,0.56,0.25,0.11,0.42,0.28,Anger
1559,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,169.47,0.57,0.3,0.14,0.59,0.22,Anger
1560,Hindi,क्या आपको कोई दर्द है?,171.68,0.63,0.35,0.12,0.41,0.29,Sadness
1561,Spanish,¿Tiene algún dolor?,196.73,0.71,0.2,0.12,0.42,0.21,Surprise
1562,Mandarin,我们现在开始治疗。,216.86,0.73,0.25,0.14,0.5,0.2,Fear
1563,Mandarin,你今天感觉如何？,185.42,0.55,0.4,0.09,0.41,0.22,Sadness
1564,Spanish,Está progresando bien.,223.33,0.49,0.3,0.12,0.39,0.21,Fear
1565,Mandarin,我们现在开始治疗。,212.36,0.46,0.25,0.13,0.38,0.17,Surprise
1566,English,How are you feeling today?,172.61,0.61,0.37,0.09,0.44,0.3,Sadness
1567,Spanish,Vamos a comenzar la terapia.,171.26,0.59,0.28,0.12,0.38,0.3,Surprise
1568,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,215.63,0.66,0.32,0.11,0.37,0.17,Sadness
1569,Spanish,Vamos a comenzar la terapia.,155.84,0.72,0.24,0.1,0.42,0.16,Fear
1570,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,172.56,0.52,0.35,0.13,0.48,0.28,Sadness
1571,Spanish,¿Tiene algún dolor?,219.36,0.69,0.22,0.11,0.38,0.28,Anger
1572,Mandarin,我们现在开始治疗。,163.91,0.79,0.2,0.12,0.53,0.19,Sadness
1573,Spanish,Déjeme ajustar su almohada para mayor comodidad.,193.38,0.78,0.39,0.12,0.49,0.21,Surprise
1574,Mandarin,我现在记录你的血压。,237.92,0.5,0.23,0.14,0.57,0.18,Surprise
1575,English,Do you feel any pain?,184.23,0.69,0.24,0.14,0.49,0.27,Neutral
1576,Mandarin,我们来做一些伸展运动。,237.28,0.6,0.3,0.12,0.59,0.22,Sadness
1577,Mandarin,你今天感觉如何？,206.17,0.54,0.29,0.08,0.42,0.27,Joy
1578,English,How are you feeling today?,229.14,0.41,0.32,0.09,0.31,0.22,Surprise
1579,English,You are making good progress.,227.93,0.42,0.2,0.13,0.33,0.22,Fear
1580,Spanish,Voy a registrar su presión arterial.,228.38,0.52,0.25,0.13,0.43,0.22,Joy
1581,English,Please take a deep breath.,238.26,0.44,0.37,0.09,0.4,0.27,Surprise
1582,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,153.73,0.7,0.22,0.12,0.5,0.22,Fear
1583,French,Vous semblez plus détendu aujourd'hui.,233.85,0.53,0.26,0.08,0.5,0.22,Surprise
1584,English,You seem more relaxed today.,243.73,0.55,0.28,0.11,0.46,0.2,Neutral
1585,French,Pouvez-vous bouger le bras lentement?,176.1,0.47,0.32,0.1,0.31,0.2,Joy
1586,English,You are making good progress.,181.94,0.46,0.33,0.14,0.47,0.24,Fear
1587,Hindi,हम आपकी थेरेपी शुरू करेंगे।,194.97,0.43,0.24,0.11,0.5,0.21,Sadness
1588,Hindi,मैं आपका तकिया सही कर देता हूँ।,223.22,0.59,0.24,0.15,0.42,0.19,Neutral
1589,Spanish,Voy a registrar su presión arterial.,248.44,0.68,0.34,0.09,0.48,0.23,Surprise
1590,English,Let me adjust your pillow for comfort.,185.91,0.61,0.31,0.15,0.33,0.24,Sadness
1591,Spanish,Déjeme ajustar su almohada para mayor comodidad.,227.56,0.63,0.36,0.12,0.37,0.25,Sadness
1592,Mandarin,我们来做一些伸展运动。,247.81,0.77,0.35,0.13,0.4,0.26,Anger
1593,Mandarin,让我帮你调整枕头。,157.97,0.47,0.21,0.14,0.59,0.24,Surprise
1594,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,223.35,0.42,0.33,0.09,0.32,0.23,Neutral
1595,English,Let me adjust your pillow for comfort.,190.38,0.61,0.29,0.13,0.57,0.19,Sadness
1596,Mandarin,我们现在开始治疗。,217.33,0.51,0.26,0.13,0.31,0.25,Anger
1597,English,You seem more relaxed today.,238.67,0.66,0.21,0.09,0.54,0.2,Surprise
1598,Spanish,¿Se siente más relajado ahora?,162.69,0.68,0.34,0.08,0.35,0.24,Anger
1599,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,158.41,0.57,0.23,0.13,0.32,0.17,Surprise
1600,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,238.65,0.58,0.34,0.15,0.56,0.25,Surprise
1601,French,Essayons quelques exercices d'étirement.,208.26,0.58,0.3,0.1,0.43,0.2,Anger
1602,English,I will record your blood pressure now.,241.88,0.48,0.25,0.11,0.34,0.28,Fear
1603,English,Can you move your arm slowly?,223.09,0.63,0.24,0.13,0.49,0.19,Surprise
1604,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,213.48,0.75,0.24,0.15,0.52,0.19,Joy
1605,French,Vous semblez plus détendu aujourd'hui.,175.3,0.63,0.3,0.11,0.35,0.16,Anger
1606,French,Vous progressez bien.,209.97,0.77,0.33,0.14,0.37,0.18,Joy
1607,French,Essayons quelques exercices d'étirement.,190.5,0.75,0.2,0.13,0.3,0.27,Anger
1608,Spanish,Vamos a comenzar la terapia.,221.05,0.44,0.34,0.09,0.54,0.16,Sadness
1609,Mandarin,你的康复进展很好。,204.79,0.69,0.26,0.11,0.6,0.16,Anger
1610,Hindi,हम आपकी थेरेपी शुरू करेंगे।,236.98,0.55,0.38,0.09,0.53,0.23,Fear
1611,French,Pouvez-vous bouger le bras lentement?,191.54,0.45,0.26,0.09,0.47,0.18,Sadness
1612,Hindi,कृपया गहरी साँस लें।,209.09,0.55,0.37,0.1,0.32,0.21,Joy
1613,French,Vous semblez plus détendu aujourd'hui.,153.35,0.61,0.4,0.13,0.3,0.22,Neutral
1614,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,208.37,0.54,0.3,0.09,0.39,0.23,Joy
1615,Mandarin,你的康复进展很好。,178.0,0.55,0.2,0.1,0.43,0.27,Sadness
1616,Spanish,Déjeme ajustar su almohada para mayor comodidad.,243.72,0.69,0.36,0.11,0.38,0.29,Sadness
1617,French,Pouvez-vous bouger le bras lentement?,220.14,0.76,0.24,0.11,0.6,0.26,Joy
1618,English,I will record your blood pressure now.,221.3,0.44,0.38,0.14,0.57,0.27,Fear
1619,English,You are making good progress.,235.22,0.43,0.31,0.13,0.53,0.19,Fear
1620,French,Nous allons commencer la séance.,176.16,0.51,0.21,0.11,0.32,0.18,Neutral
1621,Hindi,कृपया गहरी साँस लें।,231.42,0.71,0.28,0.11,0.35,0.15,Anger
1622,Mandarin,我们来做一些伸展运动。,176.23,0.77,0.34,0.11,0.54,0.26,Anger
1623,French,Ressentez-vous de la douleur?,226.41,0.71,0.3,0.09,0.56,0.17,Joy
1624,Hindi,मैं आपका तकिया सही कर देता हूँ।,198.26,0.79,0.34,0.1,0.31,0.24,Surprise
1625,Spanish,¿Tiene algún dolor?,160.64,0.76,0.23,0.11,0.53,0.25,Sadness
1626,Hindi,हम आपकी थेरेपी शुरू करेंगे।,243.02,0.44,0.31,0.15,0.54,0.27,Anger
1627,Mandarin,你今天看起来更放松。,199.69,0.79,0.35,0.15,0.57,0.26,Neutral
1628,English,Let me adjust your pillow for comfort.,222.11,0.8,0.24,0.1,0.46,0.3,Surprise
1629,Mandarin,我们现在开始治疗。,207.3,0.62,0.35,0.1,0.58,0.19,Anger
1630,Mandarin,你今天感觉如何？,156.68,0.43,0.23,0.13,0.52,0.19,Sadness
1631,Spanish,¿Tiene algún dolor?,178.68,0.55,0.26,0.14,0.5,0.15,Sadness
1632,English,Let me adjust your pillow for comfort.,185.03,0.7,0.27,0.13,0.55,0.28,Anger
1633,French,Pouvez-vous bouger le bras lentement?,224.78,0.64,0.35,0.12,0.49,0.29,Anger
1634,French,Laissez-moi ajuster votre oreiller pour plus de confort.,229.87,0.44,0.32,0.09,0.55,0.19,Neutral
1635,Mandarin,你可以慢慢移动手臂吗？,153.37,0.73,0.23,0.11,0.33,0.3,Sadness
1636,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,200.59,0.72,0.38,0.13,0.44,0.19,Anger
1637,Spanish,Está progresando bien.,242.27,0.54,0.23,0.13,0.56,0.22,Fear
1638,Hindi,हम आपकी थेरेपी शुरू करेंगे।,174.83,0.58,0.32,0.11,0.52,0.2,Anger
1639,Hindi,आप अच्छी प्रगति कर रहे हैं।,216.87,0.41,0.25,0.1,0.3,0.2,Surprise
1640,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,191.47,0.63,0.3,0.1,0.57,0.28,Joy
1641,Hindi,हम आपकी थेरेपी शुरू करेंगे।,189.58,0.7,0.31,0.13,0.32,0.28,Surprise
1642,Mandarin,我们来做一些伸展运动。,173.12,0.67,0.25,0.1,0.51,0.19,Fear
1643,Mandarin,让我帮你调整枕头。,228.11,0.46,0.27,0.12,0.36,0.18,Neutral
1644,Spanish,¿Tiene algún dolor?,189.66,0.74,0.21,0.11,0.41,0.25,Joy
1645,Spanish,Está progresando bien.,179.52,0.72,0.31,0.15,0.42,0.25,Joy
1646,Hindi,हम आपकी थेरेपी शुरू करेंगे।,244.89,0.5,0.37,0.09,0.39,0.23,Anger
1647,Mandarin,我们现在开始治疗。,172.75,0.78,0.25,0.12,0.44,0.29,Neutral
1648,French,Pouvez-vous bouger le bras lentement?,225.0,0.54,0.29,0.1,0.39,0.26,Neutral
1649,English,You seem more relaxed today.,154.69,0.52,0.36,0.13,0.48,0.26,Fear
1650,Spanish,Déjeme ajustar su almohada para mayor comodidad.,241.9,0.68,0.24,0.11,0.35,0.28,Surprise
1651,English,Let me adjust your pillow for comfort.,178.08,0.57,0.39,0.14,0.47,0.21,Anger
1652,Mandarin,我现在记录你的血压。,207.36,0.65,0.27,0.1,0.47,0.19,Neutral
1653,Mandarin,让我帮你调整枕头。,186.3,0.47,0.29,0.09,0.34,0.22,Neutral
1654,English,Let's try a few stretching exercises.,154.63,0.47,0.22,0.13,0.59,0.28,Anger
1655,English,How are you feeling today?,238.47,0.72,0.38,0.09,0.38,0.27,Anger
1656,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,160.31,0.79,0.28,0.11,0.51,0.16,Fear
1657,French,Vous progressez bien.,180.85,0.74,0.31,0.15,0.35,0.19,Fear
1658,French,Laissez-moi ajuster votre oreiller pour plus de confort.,160.9,0.72,0.22,0.09,0.56,0.29,Anger
1659,English,I will record your blood pressure now.,221.98,0.46,0.38,0.15,0.52,0.16,Anger
1660,French,Je vais enregistrer votre tension artérielle.,208.17,0.79,0.24,0.1,0.53,0.22,Anger
1661,Spanish,Déjeme ajustar su almohada para mayor comodidad.,216.22,0.42,0.22,0.1,0.36,0.19,Anger
1662,Mandarin,我们现在开始治疗。,244.15,0.5,0.22,0.13,0.58,0.29,Neutral
1663,Mandarin,你今天感觉如何？,179.6,0.51,0.32,0.08,0.37,0.26,Fear
1664,Mandarin,我现在记录你的血压。,187.5,0.5,0.27,0.08,0.42,0.21,Neutral
1665,French,Vous semblez plus détendu aujourd'hui.,163.08,0.68,0.35,0.1,0.3,0.21,Fear
1666,French,Pouvez-vous bouger le bras lentement?,207.02,0.49,0.27,0.08,0.33,0.15,Sadness
1667,French,Veuillez respirer profondément.,230.55,0.73,0.39,0.13,0.59,0.17,Sadness
1668,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,214.75,0.59,0.37,0.13,0.56,0.19,Surprise
1669,English,You seem more relaxed today.,166.0,0.62,0.3,0.1,0.58,0.19,Sadness
1670,English,Can you move your arm slowly?,190.14,0.66,0.3,0.09,0.52,0.29,Sadness
1671,Hindi,आप अच्छी प्रगति कर रहे हैं।,249.99,0.49,0.23,0.09,0.45,0.17,Sadness
1672,Spanish,Déjeme ajustar su almohada para mayor comodidad.,163.31,0.42,0.22,0.11,0.32,0.24,Anger
1673,English,Let me adjust your pillow for comfort.,237.52,0.7,0.23,0.13,0.47,0.21,Fear
1674,English,You are making good progress.,169.55,0.65,0.36,0.13,0.3,0.2,Anger
1675,Mandarin,你可以慢慢移动手臂吗？,166.93,0.52,0.4,0.14,0.35,0.16,Anger
1676,French,Pouvez-vous bouger le bras lentement?,197.31,0.54,0.28,0.1,0.3,0.18,Fear
1677,French,Laissez-moi ajuster votre oreiller pour plus de confort.,219.31,0.54,0.39,0.08,0.33,0.3,Joy
1678,Hindi,आप अच्छी प्रगति कर रहे हैं।,218.62,0.63,0.24,0.13,0.59,0.24,Sadness
1679,Mandarin,我现在记录你的血压。,160.7,0.4,0.23,0.08,0.34,0.16,Sadness
1680,Spanish,Vamos a comenzar la terapia.,156.37,0.68,0.27,0.14,0.51,0.23,Surprise
1681,Mandarin,我们现在开始治疗。,197.27,0.71,0.3,0.09,0.58,0.22,Anger
1682,English,Let me adjust your pillow for comfort.,198.07,0.58,0.34,0.11,0.59,0.16,Anger
1683,Spanish,Voy a registrar su presión arterial.,242.23,0.66,0.27,0.12,0.39,0.28,Neutral
1684,French,Essayons quelques exercices d'étirement.,222.02,0.51,0.26,0.14,0.5,0.28,Anger
1685,English,Please take a deep breath.,150.62,0.56,0.32,0.1,0.33,0.23,Fear
1686,Hindi,कृपया गहरी साँस लें।,189.76,0.67,0.22,0.11,0.52,0.15,Anger
1687,Mandarin,请深呼吸。,196.5,0.55,0.25,0.1,0.43,0.26,Anger
1688,French,Veuillez respirer profondément.,200.6,0.5,0.34,0.12,0.36,0.2,Fear
1689,Mandarin,你可以慢慢移动手臂吗？,242.86,0.74,0.32,0.1,0.57,0.19,Fear
1690,English,I will record your blood pressure now.,237.54,0.6,0.28,0.13,0.51,0.15,Fear
1691,French,Veuillez respirer profondément.,205.31,0.57,0.27,0.11,0.49,0.21,Anger
1692,Mandarin,你有疼痛吗？,151.72,0.46,0.33,0.1,0.39,0.28,Joy
1693,English,We will start your therapy now.,201.92,0.59,0.36,0.1,0.38,0.23,Neutral
1694,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,197.47,0.42,0.28,0.11,0.44,0.25,Sadness
1695,Spanish,Vamos a comenzar la terapia.,159.06,0.53,0.3,0.08,0.51,0.3,Fear
1696,English,Can you move your arm slowly?,150.07,0.53,0.27,0.12,0.45,0.21,Fear
1697,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,151.89,0.76,0.38,0.1,0.31,0.24,Joy
1698,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,157.58,0.65,0.36,0.1,0.54,0.29,Anger
1699,Mandarin,你今天看起来更放松。,202.88,0.77,0.31,0.12,0.39,0.19,Anger
1700,English,I will record your blood pressure now.,178.05,0.43,0.4,0.08,0.38,0.18,Neutral
1701,French,Veuillez respirer profondément.,212.62,0.71,0.31,0.08,0.39,0.24,Neutral
1702,Spanish,Vamos a comenzar la terapia.,164.37,0.57,0.4,0.11,0.44,0.2,Joy
1703,English,Let me adjust your pillow for comfort.,244.36,0.53,0.32,0.12,0.46,0.3,Sadness
1704,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,244.82,0.7,0.38,0.1,0.52,0.2,Joy
1705,Hindi,आप अच्छी प्रगति कर रहे हैं।,185.58,0.41,0.3,0.09,0.44,0.22,Surprise
1706,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,207.9,0.75,0.37,0.11,0.41,0.19,Fear
1707,Mandarin,你可以慢慢移动手臂吗？,232.63,0.71,0.21,0.15,0.47,0.16,Joy
1708,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,211.12,0.53,0.4,0.13,0.45,0.24,Neutral
1709,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,195.74,0.69,0.3,0.1,0.47,0.16,Joy
1710,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,151.7,0.6,0.35,0.1,0.34,0.18,Sadness
1711,Mandarin,我们现在开始治疗。,235.99,0.73,0.36,0.12,0.54,0.23,Fear
1712,Hindi,कृपया गहरी साँस लें।,214.09,0.59,0.36,0.09,0.48,0.19,Sadness
1713,French,Essayons quelques exercices d'étirement.,218.5,0.78,0.37,0.14,0.44,0.28,Neutral
1714,Mandarin,我们来做一些伸展运动。,237.68,0.75,0.31,0.1,0.52,0.16,Neutral
1715,French,Je vais enregistrer votre tension artérielle.,201.97,0.47,0.37,0.11,0.42,0.16,Fear
1716,Hindi,आप अच्छी प्रगति कर रहे हैं।,200.15,0.43,0.38,0.14,0.35,0.24,Fear
1717,Mandarin,请深呼吸。,160.91,0.73,0.32,0.09,0.46,0.28,Fear
1718,Mandarin,让我帮你调整枕头。,207.14,0.65,0.23,0.14,0.38,0.18,Anger
1719,Spanish,Voy a registrar su presión arterial.,190.78,0.42,0.38,0.1,0.39,0.17,Sadness
1720,French,Laissez-moi ajuster votre oreiller pour plus de confort.,159.35,0.57,0.28,0.13,0.59,0.25,Anger
1721,French,Pouvez-vous bouger le bras lentement?,212.19,0.42,0.38,0.14,0.59,0.18,Joy
1722,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,248.62,0.62,0.34,0.1,0.39,0.2,Joy
1723,Mandarin,你的康复进展很好。,241.53,0.55,0.24,0.1,0.48,0.21,Fear
1724,Spanish,Por favor respire profundamente.,172.1,0.75,0.21,0.11,0.43,0.27,Anger
1725,Mandarin,让我帮你调整枕头。,238.82,0.51,0.22,0.1,0.48,0.2,Joy
1726,Spanish,Por favor respire profundamente.,246.94,0.78,0.25,0.1,0.41,0.2,Fear
1727,Mandarin,你可以慢慢移动手臂吗？,240.92,0.68,0.35,0.1,0.4,0.24,Joy
1728,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,189.75,0.46,0.24,0.09,0.59,0.23,Anger
1729,Hindi,हम आपकी थेरेपी शुरू करेंगे।,161.47,0.63,0.3,0.11,0.49,0.29,Anger
1730,Mandarin,你今天感觉如何？,180.17,0.75,0.4,0.13,0.51,0.18,Surprise
1731,Spanish,Parece más relajado hoy.,168.25,0.74,0.39,0.12,0.42,0.24,Surprise
1732,English,Please take a deep breath.,197.33,0.73,0.35,0.09,0.52,0.22,Anger
1733,French,Essayons quelques exercices d'étirement.,199.23,0.67,0.33,0.14,0.32,0.28,Sadness
1734,Mandarin,我现在记录你的血压。,153.21,0.78,0.24,0.14,0.43,0.19,Fear
1735,French,Vous progressez bien.,156.3,0.52,0.28,0.08,0.38,0.22,Fear
1736,Hindi,क्या आपको कोई दर्द है?,225.7,0.67,0.31,0.1,0.34,0.28,Sadness
1737,Hindi,क्या आपको कोई दर्द है?,202.56,0.64,0.38,0.12,0.31,0.26,Joy
1738,Spanish,Voy a registrar su presión arterial.,233.05,0.78,0.26,0.1,0.54,0.24,Anger
1739,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,169.58,0.62,0.33,0.08,0.38,0.25,Surprise
1740,Spanish,¿Tiene algún dolor?,204.05,0.61,0.35,0.13,0.59,0.18,Fear
1741,Spanish,¿Tiene algún dolor?,205.25,0.74,0.27,0.12,0.32,0.18,Joy
1742,French,Vous progressez bien.,183.24,0.49,0.25,0.11,0.39,0.19,Joy
1743,English,We will start your therapy now.,218.78,0.68,0.34,0.11,0.55,0.18,Joy
1744,Spanish,Está progresando bien.,214.94,0.71,0.38,0.08,0.35,0.23,Joy
1745,Spanish,Está progresando bien.,225.32,0.41,0.25,0.14,0.47,0.19,Fear
1746,Hindi,कृपया गहरी साँस लें।,170.65,0.42,0.25,0.12,0.42,0.19,Neutral
1747,Spanish,Vamos a comenzar la terapia.,205.59,0.67,0.31,0.1,0.33,0.16,Anger
1748,English,Let me adjust your pillow for comfort.,173.0,0.77,0.25,0.11,0.49,0.25,Anger
1749,French,Vous semblez plus détendu aujourd'hui.,212.8,0.63,0.36,0.08,0.51,0.22,Fear
1750,French,Laissez-moi ajuster votre oreiller pour plus de confort.,165.3,0.77,0.3,0.11,0.44,0.23,Surprise
1751,Spanish,Voy a registrar su presión arterial.,234.55,0.61,0.24,0.08,0.33,0.3,Sadness
1752,English,Let's try a few stretching exercises.,163.55,0.56,0.3,0.11,0.31,0.17,Anger
1753,Spanish,Voy a registrar su presión arterial.,160.6,0.7,0.37,0.08,0.38,0.2,Sadness
